date,state,cases,deaths
2020-10-08,Alabama,161418,2601
2020-10-08,Alaska,9784,55
2020-10-08,Arizona,222558,5733
2020-10-08,Arkansas,88880,1482
2020-10-08,California,843732,16358
2020-10-08,Colorado,75410,2097
2020-10-08,Connecticut,59364,4522
2020-10-08,Delaware,21550,649
2020-10-08,District of Columbia,15697,632
2020-10-08,Florida,722699,14903
2020-10-08,Georgia,310161,7089
2020-10-08,Guam,3837,58
2020-10-08,Hawaii,13196,162
2020-10-08,Idaho,46233,502
2020-10-08,Illinois,311614,9138
2020-10-08,Indiana,130569,3727
2020-10-08,Iowa,95093,1419
2020-10-08,Kansas,65069,723
2020-10-08,Kentucky,78669,1261
2020-10-08,Louisiana,172625,5604
2020-10-08,Maine,5604,142
2020-10-08,Maryland,129158,3973
2020-10-08,Massachusetts,136492,9557
2020-10-08,Michigan,145131,7171
2020-10-08,Minnesota,106704,2154
2020-10-08,Mississippi,102241,3051
2020-10-08,Missouri,141262,2334
2020-10-08,Montana,16194,193
2020-10-08,Nebraska,49396,516
2020-10-08,Nevada,83500,1639
2020-10-08,New Hampshire,8800,448
2020-10-08,New Jersey,211638,16152
2020-10-08,New Mexico,31372,896
2020-10-08,New York,472994,32850
2020-10-08,North Carolina,223349,3716
2020-10-08,North Dakota,24861,308
2020-10-08,Northern Mariana Islands,75,2
2020-10-08,Ohio,162723,4970
2020-10-08,Oklahoma,94352,1075
2020-10-08,Oregon,35646,585
2020-10-08,Pennsylvania,171550,8347
2020-10-08,Puerto Rico,51768,705
2020-10-08,Rhode Island,25776,1126
2020-10-08,South Carolina,153705,3502
2020-10-08,South Dakota,25906,258
2020-10-08,Tennessee,204286,2615
2020-10-08,Texas,816288,16747
2020-10-08,Utah,80522,499
2020-10-08,Vermont,1827,58
2020-10-08,Virginia,153691,3303
2020-10-08,Virgin Islands,1322,20
2020-10-08,Washington,95500,2274
2020-10-08,West Virginia,17139,369
2020-10-08,Wisconsin,146376,1427
2020-10-08,Wyoming,6899,53
