date,state,cases,deaths
2020-10-03,Alabama,158380,2558
2020-10-03,Alaska,9111,54
2020-10-03,Arizona,220403,5705
2020-10-03,Arkansas,86525,1407
2020-10-03,California,831437,16121
2020-10-03,Colorado,72885,2071
2020-10-03,Connecticut,58297,4513
2020-10-03,Delaware,21125,645
2020-10-03,District of Columbia,15473,629
2020-10-03,Florida,714583,14627
2020-10-03,Georgia,305941,6972
2020-10-03,Guam,3586,50
2020-10-03,Hawaii,12887,152
2020-10-03,Idaho,43702,480
2020-10-03,Illinois,303807,9033
2020-10-03,Indiana,126414,3669
2020-10-03,Iowa,91965,1378
2020-10-03,Kansas,62388,698
2020-10-03,Kentucky,75576,1239
2020-10-03,Louisiana,168826,5545
2020-10-03,Maine,5486,142
2020-10-03,Maryland,127194,3957
2020-10-03,Massachusetts,134303,9507
2020-10-03,Michigan,141236,7125
2020-10-03,Minnesota,102840,2126
2020-10-03,Mississippi,100167,3011
2020-10-03,Missouri,134769,2220
2020-10-03,Montana,14490,186
2020-10-03,Nebraska,47403,503
2020-10-03,Nevada,81829,1623
2020-10-03,New Hampshire,8597,442
2020-10-03,New Jersey,209363,16135
2020-10-03,New Mexico,30296,890
2020-10-03,New York,468081,32794
2020-10-03,North Carolina,217049,3647
2020-10-03,North Dakota,23137,274
2020-10-03,Northern Mariana Islands,70,2
2020-10-03,Ohio,157966,4925
2020-10-03,Oklahoma,90748,1051
2020-10-03,Oregon,34512,572
2020-10-03,Pennsylvania,166270,8271
2020-10-03,Puerto Rico,50375,681
2020-10-03,Rhode Island,25076,1118
2020-10-03,South Carolina,150891,3442
2020-10-03,South Dakota,23986,248
2020-10-03,Tennessee,196870,2534
2020-10-03,Texas,798925,16440
2020-10-03,Utah,76225,476
2020-10-03,Vermont,1778,58
2020-10-03,Virginia,150803,3270
2020-10-03,Virgin Islands,1326,20
2020-10-03,Washington,93160,2238
2020-10-03,West Virginia,16468,357
2020-10-03,Wisconsin,138018,1383
2020-10-03,Wyoming,6365,53
