date,state,cases,deaths
2020-10-10,Alabama,164526,2664
2020-10-10,Alaska,10099,56
2020-10-10,Arizona,224985,5759
2020-10-10,Arkansas,91312,1530
2020-10-10,California,851399,16506
2020-10-10,Colorado,77180,2115
2020-10-10,Connecticut,60038,4530
2020-10-10,Delaware,21998,653
2020-10-10,District of Columbia,15918,636
2020-10-10,Florida,728913,15185
2020-10-10,Georgia,313326,7178
2020-10-10,Guam,3958,59
2020-10-10,Hawaii,13461,165
2020-10-10,Idaho,47674,506
2020-10-10,Illinois,320113,9234
2020-10-10,Indiana,135789,3782
2020-10-10,Iowa,98502,1455
2020-10-10,Kansas,67016,763
2020-10-10,Kentucky,80944,1285
2020-10-10,Louisiana,173406,5635
2020-10-10,Maine,5696,143
2020-10-10,Maryland,131169,3995
2020-10-10,Massachusetts,137701,9577
2020-10-10,Michigan,147896,7202
2020-10-10,Minnesota,110881,2184
2020-10-10,Mississippi,104638,3096
2020-10-10,Missouri,148028,2483
2020-10-10,Montana,18118,209
2020-10-10,Nebraska,50394,523
2020-10-10,Nevada,85407,1659
2020-10-10,New Hampshire,8970,450
2020-10-10,New Jersey,214665,16171
2020-10-10,New Mexico,32241,902
2020-10-10,New York,477870,32875
2020-10-10,North Carolina,229959,3786
2020-10-10,North Dakota,26632,340
2020-10-10,Northern Mariana Islands,75,2
2020-10-10,Ohio,166102,4994
2020-10-10,Oklahoma,98621,1095
2020-10-10,Oregon,36538,600
2020-10-10,Pennsylvania,175804,8421
2020-10-10,Puerto Rico,53364,728
2020-10-10,Rhode Island,26294,1130
2020-10-10,South Carolina,156621,3551
2020-10-10,South Dakota,27947,286
2020-10-10,Tennessee,208146,2703
2020-10-10,Texas,825947,16957
2020-10-10,Utah,83312,508
2020-10-10,Vermont,1857,58
2020-10-10,Virginia,157905,3354
2020-10-10,Virgin Islands,1324,20
2020-10-10,Washington,96839,2288
2020-10-10,West Virginia,17913,381
2020-10-10,Wisconsin,152831,1455
2020-10-10,Wyoming,7455,54
